search URL:,https://patents.google.com/?q=bike
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US3561783A,Ski bike ,Richard H Ellett,Richard H Ellett,1969-06-09,1969-06-09,1971-02-09,1971-02-09,https://patents.google.com/patent/US3561783A/en
US5549527A,Stationary bike ,Yu; Hui-Nan,Hui-Nan Yu,1995-11-08,1995-11-08,1996-08-27,1996-08-27,https://patents.google.com/patent/US5549527A/en
US3362492A,Snowbike attachment ,Darrell L. Hansen,Darrell L Hansen,1966-02-14,1966-02-14,1968-01-09,1968-01-09,https://patents.google.com/patent/US3362492A/en
US6702312B1,Universal folding bicycle ,Miksik Pavel P.,Pavel P. Mik{haeck over (s)}ik,1999-11-26,2000-11-24,2004-03-09,2004-03-09,https://patents.google.com/patent/US6702312B1/en
US20100206652A1,Dual-posture electric assist bicycle ,Peter Kielland,Peter Kielland,2006-09-26,2007-09-22,2010-08-19,,https://patents.google.com/patent/US20100206652A1/en
US5346235A,Bicycle seat post seating and clearance positioning system ,Holman Michael J,Michael J. Holman,1993-02-08,1993-02-08,1994-09-13,1994-09-13,https://patents.google.com/patent/US5346235A/en
US5226341A,Handlebar kit using bicycle U-lock ,Shores Wade D,Wade D. Shores,1992-05-27,1992-05-27,1993-07-13,1993-07-13,https://patents.google.com/patent/US5226341A/en
US6439590B1,Standing-pedaling bike ,Fa-Kuang Liang,Fa-Kuang Liang,2001-03-13,2001-03-13,2002-08-27,2002-08-27,https://patents.google.com/patent/US6439590B1/en
US4424981A,High strength light weight bike axle ,Maxwell Iii William H,"William H. Maxwell, III",1982-01-25,1982-01-25,1984-01-10,1984-01-10,https://patents.google.com/patent/US4424981A/en
US4873886A,Armrest for bicycle handlebar ,Rolf Renner,Rolf Renner,1988-01-26,1988-01-26,1989-10-17,1989-10-17,https://patents.google.com/patent/US4873886A/en
US7066481B1,Bicycle rear suspension ,"Felt Racing, Llc",Jeffrey A. Soucek,2005-04-13,2005-04-13,2006-06-27,2006-06-27,https://patents.google.com/patent/US7066481B1/en
US5269550A,Mountain bike ,"Dahon California, Inc.","David T. Hon, Chuan Liao, Guo M. Cheng",1991-02-01,1991-02-01,1993-12-14,1993-12-14,https://patents.google.com/patent/US5269550A/en
US6179181B1,Bike transport rack ,"Bara Technologies, Inc.","Roland E. Johnson, Douglas M. Johnson",1999-03-23,1999-03-23,2001-01-30,2001-01-30,https://patents.google.com/patent/US6179181B1/en
US20040254038A1,Bicycle rear derailleur guard ,"Chamberlain Jason L., Sloan Brandon Dale","Jason Chamberlain, Brandon Sloan",2003-06-11,2003-06-11,2004-12-16,,https://patents.google.com/patent/US20040254038A1/en
US6378885B1,Bicycle suspension apparatus and related method ,Anthony S. Ellsworth,"Anthony S. Ellsworth, Mike Kojima",1998-03-02,1999-03-02,2002-04-30,2002-04-30,https://patents.google.com/patent/US6378885B1/en
US5242028A,Motorized bicycle drive system ,"Murphy Lisa J, Mirades Thomas E","Lisa J. Murphy, Thomas E. Mirades",1992-01-24,1992-01-24,1993-09-07,1993-09-07,https://patents.google.com/patent/US5242028A/en
US6102421A,Rear suspension for a bicycle ,Schwinn Cycling & Fitness Inc.,"Merton R. Lawwill, Mark L. Schroeder",1996-03-15,1997-08-29,2000-08-15,2000-08-15,https://patents.google.com/patent/US6102421A/en
US3748876A,Bike security device ,T Mathews,T Mathews,1971-11-08,1971-11-08,1973-07-31,1973-07-31,https://patents.google.com/patent/US3748876A/en
US4637808A,Bicycle rear derailleur ,"Kawamura Cycle Co., Ltd.",Shizuo Nakamura,1984-02-16,1985-02-15,1987-01-20,1987-01-20,https://patents.google.com/patent/US4637808A/en
US3318403A,Snow bicycle ,Harry P Hansen,Harry P Hansen,1965-07-02,1965-07-02,1967-05-09,1967-05-09,https://patents.google.com/patent/US3318403A/en
US5048891A,Seat position changing apparatus for a bicycle or cycle-type machine ,Yach Thomas L,Thomas L. Yach,1989-10-30,1989-10-30,1991-09-17,1991-09-17,https://patents.google.com/patent/US5048891A/en
US6401997B1,Bicycle-mounted liquid storage and delivery system and support bracket ,"E. Thomas Smerdon, Jr.","E. Thomas Smerdon, Jr.",1998-09-10,1999-09-07,2002-06-11,2002-06-11,https://patents.google.com/patent/US6401997B1/en
US5316327A,Chainless bicycle with dual drive shafts and floating drive train suspension system ,Bell James H,James H. Bell,1993-04-15,1993-04-15,1994-05-31,1994-05-31,https://patents.google.com/patent/US5316327A/en
US6076845A,Rear suspension for a bicycle having a flexible chain stay ,Schwinn Cycling & Fitness Inc.,"Merton R. Lawwill, Mark L. Schroeder",1998-09-24,1998-09-24,2000-06-20,2000-06-20,https://patents.google.com/patent/US6076845A/en
US5284354A,Bicycle suspension system ,"Western States Import Company, Inc.",Robert T. McWethy,1993-01-04,1993-01-04,1994-02-08,1994-02-08,https://patents.google.com/patent/US5284354A/en
US5197927A,Bicycle derailleur cable actuating system ,Sram Corporation,"Sam H. Patterson, John D. Cheever, Jeffery M. Shupe",1991-03-20,1992-03-18,1993-03-30,1993-03-30,https://patents.google.com/patent/US5197927A/en
US6199886B1,Rear suspension system for bicycle ,Peter Guenther,Peter Guenther,1997-03-14,2000-07-28,2001-03-13,2001-03-13,https://patents.google.com/patent/US6199886B1/en
US5390773A,Non-slip bicycle clutch ,Proia; Cataldo,Cataldo Proia,1993-12-06,1993-12-06,1995-02-21,1995-02-21,https://patents.google.com/patent/US5390773A/en
US5000470A,Bicycle having rear shock absorbing arrangement and improved shock absorber for bicycles ,"Kent International, Inc.","Arnold Kamler, Sylvester Yen",1989-07-24,1989-07-24,1991-03-19,1991-03-19,https://patents.google.com/patent/US5000470A/en
US20090026728A1,Bicycle rear suspension ,"Niner, Inc.",Steve Domahidy,2007-07-27,2008-05-06,2009-01-29,,https://patents.google.com/patent/US20090026728A1/en
US6866281B2,Bicycle rear suspension ,"Specialized Bicycle Components, Inc.","Jason L. Chamberlain, Christopher P. D'Aluisio",2002-04-15,2004-03-29,2005-03-15,2005-03-15,https://patents.google.com/patent/US6866281B2/en
US5273302A,Adjustable bicycle stem ,Ureel Jeffrey M,Jeffrey M. Ureel,1992-03-03,1992-03-03,1993-12-28,1993-12-28,https://patents.google.com/patent/US5273302A/en
US6485041B1,"Step-cycle for exercise, recreation, and transport ",Dean R. Janssen,Dean R. Janssen,2000-11-15,2000-11-15,2002-11-26,2002-11-26,https://patents.google.com/patent/US6485041B1/en
US5577750A,Bicycle stabilizing flexpole trainer ,Sklar; Lyle W.,Lyle W. Sklar,1993-04-07,1994-07-11,1996-11-26,1996-11-26,https://patents.google.com/patent/US5577750A/en
US7140626B1,Running exercise bike ,Keay Peter W,Peter W. Keay,2003-07-15,2004-06-10,2006-11-28,2006-11-28,https://patents.google.com/patent/US7140626B1/en
US5102372A,Bicycle derailleur cable actuating system ,Sram Corporation,"Sam H. Patterson, John D. Cheever, Jeffery M. Shupe",1991-03-20,1991-03-20,1992-04-07,1992-04-07,https://patents.google.com/patent/US5102372A/en
US4571965A,Bicycle lock ,Leroux Paul,Paul LeRoux,1983-08-31,1984-01-11,1986-02-25,1986-02-25,https://patents.google.com/patent/US4571965A/en
US5127564A,Bicycle holder for pickup truck ,Romero Henry F,Henry F. Romero,1991-03-26,1991-03-26,1992-07-07,1992-07-07,https://patents.google.com/patent/US5127564A/en
US3886988A,Bicycle bag ,Garrett Jeanne P,"Wayne E Garrett, Jr John W Mckean",1973-07-19,1973-07-19,1975-06-03,1975-06-03,https://patents.google.com/patent/US3886988A/en
US3682495A,Snow bike ,Kourosh Zaimi,Kourosh Zaimi,1970-12-07,1970-12-07,1972-08-08,1972-08-08,https://patents.google.com/patent/US3682495A/en
US6109636A,High efficiency bicycle frame suspension ,Klein Bicycle Corporation,"Gary G. Klein, Darrell W. Voss",1995-08-25,1995-08-25,2000-08-29,2000-08-29,https://patents.google.com/patent/US6109636A/en
US6036069A,Bicycle fork attachment ,Sayegh; Jeffrey Dennis,Jeffrey Dennis Sayegh,1998-06-30,1998-06-30,2000-03-14,2000-03-14,https://patents.google.com/patent/US6036069A/en
US6361059B1,Single pivot bicycle suspension apparatus and related methods ,Anthony S. Ellsworth,Anthony S. Ellsworth,1999-09-10,1999-09-10,2002-03-26,2002-03-26,https://patents.google.com/patent/US6361059B1/en
US20050008992A1,Apparatus for training on a bicycle connected to the apparatus ,"Johnny Westergaard, Ebbe Finding, Flemming Bruhn, Christensen Henrik Thor","Johnny Westergaard, Ebbe Finding, Flemming Bruhn, Henrik Christensen",2001-11-30,2002-11-29,2005-01-13,,https://patents.google.com/patent/US20050008992A1/en
US5586780A,High efficiency bicycle suspension ,Klein Bicycle Corporation,"Gary G. Klein, Darrell W. Voss, Lonney Pauls",1992-09-18,1994-09-28,1996-12-24,1996-12-24,https://patents.google.com/patent/US5586780A/en
US5921669A,Convertible orientation bicycle lamp ,Schwinn Cycling & Fitness Inc.,"Harry B. Taylor, Paul Klinger",1997-03-25,1997-03-25,1999-07-13,1999-07-13,https://patents.google.com/patent/US5921669A/en
US7000936B2,Bicycle having internally routed control cables ,John Schmider,John Schmider,2003-03-26,2004-03-24,2006-02-21,2006-02-21,https://patents.google.com/patent/US7000936B2/en
US6986522B2,Portable folding bicycle ,Daka Research Inc.,"Clive Marles Sinclair, Alexander Joseph Kalogroulis",2004-05-28,2004-05-28,2006-01-17,2006-01-17,https://patents.google.com/patent/US6986522B2/en
US5232134A,Bike carrying system ,Allen Michael D,Michael D. Allen,1991-05-09,1991-05-09,1993-08-03,1993-08-03,https://patents.google.com/patent/US5232134A/en
US5033325A,Adjustable connection for bicycle handlebar ,"Profile For Speed, Inc.","Edward H. Giard, Jr.",1990-06-15,1990-06-15,1991-07-23,1991-07-23,https://patents.google.com/patent/US5033325A/en
US5643145A,Exercise bike ,"Lo; Chung-Yen, Chien; Fu-Shun","Chung-Yen Lo, Fu-Shun Chien",1996-09-18,1996-09-18,1997-07-01,1997-07-01,https://patents.google.com/patent/US5643145A/en
US6205885B1,Clipless bicycle pedal ,"Frank Hermansen, Carl Winefordner","Frank Hermansen, Carl Winefordner",1999-09-08,1999-09-08,2001-03-27,2001-03-27,https://patents.google.com/patent/US6205885B1/en
US5257552A,"Handlebars for bicycles, motorcycles, all terrain bikes, all terrain vehicles and jet skis ","Answer Products, Inc.","Scott M. Boyer, Charles R. Teixiera, IV",1992-02-10,1992-02-10,1993-11-02,1993-11-02,https://patents.google.com/patent/US5257552A/en
US5775555A,Single arm holder and bracket for bicycle rack ,"Graber Products, Inc.","John M. Bloemer, John M. Kaloustian, Todd W. Lassanske",1995-02-17,1995-12-07,1998-07-07,1998-07-07,https://patents.google.com/patent/US5775555A/en
US20060038378A1,Foldable trunk bike ,Yueh-Tao Lee,Yueh-Tao Lee,2004-08-19,2004-08-19,2006-02-23,,https://patents.google.com/patent/US20060038378A1/en
US3269480A,Fuel tank for motor bike ,Microsound Inc,Edward J Kirby,1964-04-20,1964-04-20,1966-08-30,1966-08-30,https://patents.google.com/patent/US3269480A/en
US4055093A,10-Speed bicycles ,Amf Incorporated,Haldon Ross,1976-06-18,1976-06-18,1977-10-25,1977-10-25,https://patents.google.com/patent/US4055093A/en
US5435475A,Ride-ready bike carrier system ,"Sport Carriers, Inc.","James B. Hudson, Ron Holder, Julie L. Gengler",1993-11-02,1993-11-02,1995-07-25,1995-07-25,https://patents.google.com/patent/US5435475A/en
US6050585A,Bicycle seat power adjustable mechanism ,Rai; Kuljeet Singh,Kuljeet Singh Rai,1998-12-23,1998-12-23,2000-04-18,2000-04-18,https://patents.google.com/patent/US6050585A/en
US4410060A,Power-assisted velocipede ,"Brown Group Recreational Products, Inc.",Joel C. Cunard,1981-11-16,1981-11-16,1983-10-18,1983-10-18,https://patents.google.com/patent/US4410060A/en
US4925203A,Semi-recumbent bicycle with adjustable frame ,Buckler Clive E,Clive E. Buckler,1988-11-22,1988-11-22,1990-05-15,1990-05-15,https://patents.google.com/patent/US4925203A/en
US5059158A,Electronic transmission control system for a bicycle ,"E.B.T., Inc.","Stephen Bellio, Gerald P. Eidelman",1990-05-08,1990-05-08,1991-10-22,1991-10-22,https://patents.google.com/patent/US5059158A/en
US5387025A,Bicycle seat ,Denisar; Richard A.,Richard A. Denisar,1990-06-25,1991-06-25,1995-02-07,1995-02-07,https://patents.google.com/patent/US5387025A/en
US3955828A,Bicycle handlebar assembly ,Hedstrom Co.,Robert J. Boudreau,1975-01-06,1975-01-06,1976-05-11,1976-05-11,https://patents.google.com/patent/US3955828A/en
US4842269A,Multi-functional stationary bike for gymnastic purpose ,Huang Gwo Ming,Gwo-Ming Huang,1987-12-30,1987-12-30,1989-06-27,1989-06-27,https://patents.google.com/patent/US4842269A/en
US5433284A,Electrical bicycle ,Chou; Wen-Cheng,Wen-Cheng Chou,1993-12-21,1994-10-04,1995-07-18,1995-07-18,https://patents.google.com/patent/US5433284A/en
US4958832A,Stationary exercising bicycle apparatus ,Kim Sang Sup,Sang-Sup Kim,1987-06-01,1989-04-26,1990-09-25,1990-09-25,https://patents.google.com/patent/US4958832A/en
US5044627A,Multi-functional stationary bike for gymnastic purpose ,Huang Gwo Ming,Gwo-Ming Huang,1990-01-25,1990-01-25,1991-09-03,1991-09-03,https://patents.google.com/patent/US5044627A/en
US6343891B1,Cantilevered helically twisted bicycle stem clamp ,Trevor L. Combs,Trevor L. Combs,1997-10-24,1998-10-23,2002-02-05,2002-02-05,https://patents.google.com/patent/US6343891B1/en
US5423728A,Stationary exercise bicycle ,"Mad Dogg Athletics, Inc.",Johnny Goldberg,1992-10-30,1992-10-30,1995-06-13,1995-06-13,https://patents.google.com/patent/US5423728A/en
US5725227A,Suspension system for a bicycle ,Schwinn Cycling & Fitness Inc.,Steven A. Mayer,1995-07-20,1995-07-20,1998-03-10,1998-03-10,https://patents.google.com/patent/US5725227A/en
US20060205549A1,Bicycle sprocket ,Shimano Inc.,"Tetsu Nonoshita, Hideya Inoue",2005-03-09,2005-11-28,2006-09-14,,https://patents.google.com/patent/US20060205549A1/en
US5791195A,"Change control device for a bicycle, particularly a mountain-bike or the like ",Campagnolo S.R.L.,Valentino Campagnolo,1995-10-19,1996-10-21,1998-08-11,1998-08-11,https://patents.google.com/patent/US5791195A/en
US6880847B2,Bicycle rear suspension ,"Specialized Bicycle Components, Inc.","Jason L. Chamberlain, Brandon Dale Sloan",2003-05-27,2003-09-04,2005-04-19,2005-04-19,https://patents.google.com/patent/US6880847B2/en
US4637605A,Controls for a game bike ,Frank Ritchie,Frank Ritchie,1984-02-17,1984-02-17,1987-01-20,1987-01-20,https://patents.google.com/patent/US4637605A/en
US7108097B1,Power assisted recumbent bicycle and power unit ,"Brent Cecil Bolton, Wesley Robert Lapp","Brent Cecil Bolton, Wesley Robert Lapp",2004-04-06,2004-04-06,2006-09-19,2006-09-19,https://patents.google.com/patent/US7108097B1/en
